YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 10 01 163  9.9 12.5  3.28 14.29  7.31 999 1013.2  10.6  11.8 999.0 99.0 99.00
2001 01 10 02 180  9.9 13.5  3.47 12.50  7.50 999 1013.4  11.0  11.8 999.0 99.0 99.00
2001 01 10 03 170 10.8 12.6  3.44 14.29  7.13 999 1013.7  11.0  11.7 999.0 99.0 99.00
2001 01 10 04 165  7.8 10.0  3.07 14.29  6.97 999 1014.1  11.3  11.7 999.0 99.0 99.00
2001 01 10 05 164  5.9  8.3  3.52 12.50  7.91 999 1014.3  11.7  11.7 999.0 99.0 99.00
2001 01 10 06 169  9.6 11.3  3.64 14.29  7.80 999 1014.5  11.3  11.6 999.0 99.0 99.00
2001 01 10 07 161 10.3 12.7  3.59 12.50  7.81 999 1014.4  11.0  11.5 999.0 99.0 99.00
2001 01 10 08 151  9.7 12.2  3.76 14.29  8.10 999 1014.1  11.0  11.5 999.0 99.0 99.00
2001 01 10 09 145  9.9 12.7  3.59 11.11  7.95 999 1013.2  11.2  11.5 999.0 99.0 99.00
2001 01 10 10 147 10.4 12.8  3.31 12.50  7.42 999 1012.5  11.2  11.5 999.0 99.0 99.00
2001 01 10 11 138 10.1 13.5  3.31 14.29  7.58 999 1011.7  11.2  11.5 999.0 99.0 99.00
2001 01 10 12 145 11.7 14.3  3.76 14.29  7.80 999 1010.3  11.6  11.5 999.0 99.0 99.00
2001 01 10 13 151 11.9 14.3  3.40 14.29  7.42 999 1009.5  11.4  11.5 999.0 99.0 99.00
2001 01 10 14 134 11.2 13.7 99.00 99.00 99.00 999 1008.0  11.5  11.5 999.0 99.0 99.00
2001 01 10 15  97  9.4 11.9  3.35 14.29  7.22 999 1006.4  10.9  11.5 999.0 99.0 99.00
2001 01 10 16 108  8.0 10.2  3.40 14.29  7.01 999 1005.2  11.2  11.6 999.0 99.0 99.00
2001 01 10 17 145 14.2 18.1  3.66 14.29  6.99 999 1004.0  11.5  11.6 999.0 99.0 99.00
2001 01 10 18 142 16.7 22.3  3.85 14.29  6.86 999 1002.4  11.7  11.6 999.0 99.0 99.00
