#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 07 03 50 999  9.5 11.1  1.74  6.25  4.98 171 1014.2 999.0  13.1 999.0 99.0 99.00
2012 01 07 04 50 999  9.5 11.3  1.55  6.25  4.91 168 1014.0 999.0  13.0 999.0 99.0 99.00
2012 01 07 05 50 999  8.1  9.8  1.67  6.25  4.90 170 1013.9 999.0  12.9 999.0 99.0 99.00
2012 01 07 06 50 999  8.4  9.7  1.51  5.56  4.74 181 1013.8 999.0  12.9 999.0 99.0 99.00
2012 01 07 07 50 999  8.8 10.6  1.39  5.88  4.62 177 1013.6 999.0  12.9 999.0 99.0 99.00
2012 01 07 08 50 999  9.0 10.9  1.39  5.56  4.60 179 1013.3 999.0  13.0 999.0 99.0 99.00
2012 01 07 09 50 999  7.8  8.9  1.36  6.25  4.64 165 1013.2 999.0  13.1 999.0 99.0 99.00
2012 01 07 10 50 999  9.0 10.3  1.27  6.25  4.53 178 1013.2 999.0  13.4 999.0 99.0 99.00
2012 01 07 11 50 999  8.9 10.2  1.37  6.67  4.54 163 1013.5 999.0  13.4 999.0 99.0 99.00
2012 01 07 12 50 999  8.2  9.6  1.41  6.67  4.62 162 1013.7 999.0  12.9 999.0 99.0 99.00
2012 01 07 13 50 999  8.9 10.3  1.38  5.56  4.46 177 1014.2 999.0  12.6 999.0 99.0 99.00
2012 01 07 14 50 999  9.0 10.9  1.49  6.25  4.61 164 1014.7 999.0  12.7 999.0 99.0 99.00
2012 01 07 15 50 999  8.6 10.1  1.45  6.25  4.64 166 1014.5 999.0  12.7 999.0 99.0 99.00
2012 01 07 16 50 999  7.9  9.4  1.57  6.25  4.70 166 1013.6 999.0  12.7 999.0 99.0 99.00
2012 01 07 17 50 999  8.3  9.7  1.45  6.25  4.69 164 1013.1 999.0  12.5 999.0 99.0 99.00
2012 01 07 18 50 999  7.1  8.3  1.39  6.25  4.69 163 1013.2 999.0  12.5 999.0 99.0 99.00
2012 01 07 19 50 999  7.6  8.9  1.36  6.25  4.78 175 1013.0 999.0  12.5 999.0 99.0 99.00
2012 01 07 20 50 999  6.3  7.2  1.28  6.25  4.71 179 1013.5 999.0  12.6 999.0 99.0 99.00
2012 01 07 21 50 999  5.6  6.5  1.21  6.25  4.73 171 1013.8 999.0  12.5 999.0 99.0 99.00
2012 01 07 22 50 999  5.8  6.6  1.11  6.25  4.82 175 1014.3 999.0  12.5 999.0 99.0 99.00
2012 01 07 23 50 999  6.4  7.2  1.05  6.25  4.68 163 1014.8 999.0  12.5 999.0 99.0 99.00
2012 01 08 00 50 999  5.9  6.6  1.02  6.67  4.74 161 1015.3 999.0  12.6 999.0 99.0 99.00
2012 01 08 01 50 999  5.8  6.7  0.96  6.25  4.74 161 1015.6 999.0  12.6 999.0 99.0 99.00
2012 01 08 02 50 999  6.2  7.0  0.98  5.88  4.74 175 1015.9 999.0  12.6 999.0 99.0 99.00
2012 01 08 03 50 999  6.3  7.5  0.90  6.67  4.43 167 1016.1 999.0  12.7 999.0 99.0 99.00
2012 01 08 04 50 999  6.4  7.4  0.95  6.25  4.55 165 1016.2 999.0  12.8 999.0 99.0 99.00
2012 01 08 05 50 999  6.6  8.3  0.98  6.25  4.66 176 1016.5 999.0  12.8 999.0 99.0 99.00
2012 01 08 06 50 999  5.9  6.9  0.95  6.25  4.48 177 1017.1 999.0  12.8 999.0 99.0 99.00
2012 01 08 07 50 999  6.5  7.5  0.99  6.25  4.55 180 1017.7 999.0  12.9 999.0 99.0 99.00
2012 01 08 08 50 999  7.7  9.3  0.86  5.56  4.66 179 1017.8 999.0  12.8 999.0 99.0 99.00
2012 01 08 09 50 999  8.6 10.0  0.85  6.25  4.33 184 1018.5 999.0  12.8 999.0 99.0 99.00
2012 01 08 10 50 999  8.6  9.9  0.98  3.33  4.09 350 1019.4 999.0  12.7 999.0 99.0 99.00
2012 01 08 11 50 999  9.4 10.9  1.20  4.55  4.43  27 1020.3 999.0  12.7 999.0 99.0 99.00
2012 01 08 12 50 999  8.9 10.6  1.34  4.76  4.49   6 1021.2 999.0  12.8 999.0 99.0 99.00
2012 01 08 13 50 999  8.1  9.7  1.59  5.88  4.85  25 1022.1 999.0  12.8 999.0 99.0 99.00
2012 01 08 14 50 999  8.0  9.6  1.65  6.25  4.99  23 1023.0 999.0  12.8 999.0 99.0 99.00
2012 01 08 15 50 999  7.4  8.5  1.53  6.25  4.81  19 1023.4 999.0  12.9 999.0 99.0 99.00
2012 01 08 16 50 999  7.6  8.8  1.38  6.25  4.72  11 1022.9 999.0  12.9 999.0 99.0 99.00
2012 01 08 17 50 999  8.3  9.7  1.39  5.88  4.74  20 1022.8 999.0  12.9 999.0 99.0 99.00
2012 01 08 18 50 999  7.3  8.3  1.26  5.88  4.72   8 1022.9 999.0  12.9 999.0 99.0 99.00
2012 01 08 19 50 999  6.8  8.1  1.19  5.26  4.59   7 1023.3 999.0  12.9 999.0 99.0 99.00
2012 01 08 20 50 999  6.7  8.0  1.05  5.00  4.51  11 1023.8 999.0  12.9 999.0 99.0 99.00
2012 01 08 21 50 999  5.9  6.8  1.04  5.26  4.44  33 1023.9 999.0  12.9 999.0 99.0 99.00
2012 01 08 22 50 999  6.1  7.3  1.05  5.56  4.51  25 1024.6 999.0  12.9 999.0 99.0 99.00
2012 01 08 23 50 999  6.1  7.1  1.03  5.56  4.65  27 1025.4 999.0  12.9 999.0 99.0 99.00
2012 01 09 00 50 999  5.8  7.0  0.93  5.56  4.47  32 1026.0 999.0  12.9 999.0 99.0 99.00
2012 01 09 01 50 999  5.6  6.9  0.93  5.56  4.39  37 1025.8 999.0  12.9 999.0 99.0 99.00
2012 01 09 02 50 999  5.9  7.1  0.83  5.56  4.28  39 1025.8 999.0  12.9 999.0 99.0 99.00
2012 01 09 03 50 999  6.1  7.3  0.79  5.26  4.20  28 1025.5 999.0  12.8 999.0 99.0 99.00
2012 01 09 04 50 999  6.1  6.9  0.87  5.00  4.49  27 1025.3 999.0  12.8 999.0 99.0 99.00
2012 01 09 05 50 999  5.9  7.1  0.81  4.76  4.12  31 1024.9 999.0  12.8 999.0 99.0 99.00
2012 01 09 06 50 999  5.0  6.1  0.89  5.88  4.35  23 1025.1 999.0  12.8 999.0 99.0 99.00
2012 01 09 07 50 999  4.7  6.5  0.89  5.56  4.53  31 1024.8 999.0  12.9 999.0 99.0 99.00
2012 01 09 08 50 999  5.5  7.0  0.81  5.56  4.50  34 1024.4 999.0  12.8 999.0 99.0 99.00
2012 01 09 09 50 999  4.4  6.9  0.80  5.00  4.51  34 1024.7 999.0  12.8 999.0 99.0 99.00
2012 01 09 10 50 999  4.7  6.2  0.79 10.00  4.59 145 1024.8 999.0  13.1 999.0 99.0 99.00
2012 01 09 11 50 999  4.8  6.6  0.70 10.81  4.52 103 1024.6 999.0  13.5 999.0 99.0 99.00
2012 01 09 12 50 999  5.2  6.9  0.70  5.00  4.50  28 1024.4 999.0  13.8 999.0 99.0 99.00
2012 01 09 13 50 999  4.6  6.7  0.72  5.00  4.55  33 1024.9 999.0  13.9 999.0 99.0 99.00
2012 01 09 14 50 999  4.3  5.8  0.77 10.00  4.58 128 1025.1 999.0  13.6 999.0 99.0 99.00
2012 01 09 15 50 999  4.5  5.8  0.74  4.55  4.46  29 1024.7 999.0  13.3 999.0 99.0 99.00
2012 01 09 16 50 999  5.2  6.1  0.68  5.00  4.33  34 1023.1 999.0  13.0 999.0 99.0 99.00
2012 01 09 17 50 999  4.8  6.5  0.75 10.00  4.27 113 1022.0 999.0  12.8 999.0 99.0 99.00
2012 01 09 18 50 999  5.9  7.0  0.71  9.09  4.03 149 1021.0 999.0  12.8 999.0 99.0 99.00
2012 01 09 19 50 999  5.3  6.8  0.68 10.00  4.23 107 1020.7 999.0  12.7 999.0 99.0 99.00
2012 01 09 20 50 999  7.4  8.6  0.71 10.00  3.91 135 1019.6 999.0  12.8 999.0 99.0 99.00
2012 01 09 21 50 999  7.7  9.9  0.82  3.45  3.84  65 1018.7 999.0  12.8 999.0 99.0 99.00
2012 01 09 22 50 999  7.0  8.5  0.93  4.00  4.00  37 1018.6 999.0  12.8 999.0 99.0 99.00
2012 01 09 23 50 999  6.2  7.2  0.91  4.55  4.17  43 1018.4 999.0  12.7 999.0 99.0 99.00
2012 01 10 00 50 999  4.5  5.2  0.90  5.88  4.31  31 1017.7 999.0  12.5 999.0 99.0 99.00
2012 01 10 01 50 999  3.5  4.2  0.90  5.56  4.51  37 1016.8 999.0  12.2 999.0 99.0 99.00
2012 01 10 02 50 999  5.7  7.0  0.88  5.88  4.65  34 1016.7 999.0  12.1 999.0 99.0 99.00
2012 01 10 03 50 999  5.7  6.8  0.82  5.26  4.66  47 1016.0 999.0  12.0 999.0 99.0 99.00
2012 01 10 04 50 999  6.4  7.4  0.78 10.00  4.66 114 1016.1 999.0  12.0 999.0 99.0 99.00
2012 01 10 05 50 999  5.1  5.9  0.74  5.26  4.28  48 1015.4 999.0  11.7 999.0 99.0 99.00
2012 01 10 06 50 999  6.6  7.4  0.76  5.00  4.24  45 1015.6 999.0  11.6 999.0 99.0 99.00
2012 01 10 07 50 999  8.5 10.1  0.74  4.76  3.98  40 1015.6 999.0  11.5 999.0 99.0 99.00
