YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 09 07 00   8 11.2 12.9  2.23  5.88  4.82 999 1023.5   1.3   5.9   0.0 99.0 99.00
2005 01 09 08 00  15 11.3 13.2  2.08  5.88  4.77 999 1024.0   1.4   5.9  -1.6 99.0 99.00
2005 01 09 09 00  16  9.2 11.3  2.07  6.25  4.82 999 1025.2   1.5   5.9  -2.1 99.0 99.00
2005 01 09 10 00  11  9.1 11.1  2.03  5.88  4.95 999 1025.9   1.1   5.9  -2.9 99.0 99.00
2005 01 09 11 00  19 10.4 12.4  2.06  6.25  4.93 999 1026.4   0.9   5.9  -4.7 99.0 99.00
2005 01 09 12 00  15  9.8 11.4  1.94  5.56  4.84 999 1027.4   0.9   5.9  -4.5 99.0 99.00
2005 01 09 13 00  15  9.1 11.4  2.00  5.88  5.02 999 1028.8   0.6   5.9  -4.2 99.0 99.00
2005 01 09 14 00  19  8.9 10.8  1.97  6.67  5.00 999 1029.8   0.4   5.9  -6.1 99.0 99.00
2005 01 09 15 00  28  7.2  9.2  1.97  7.14  5.12 999 1030.3   0.2   5.9  -7.7 99.0 99.00
2005 01 09 16 00  15  7.1  9.1  1.88  6.67  5.03 999 1030.4   0.1   5.9  -8.3 99.0 99.00
2005 01 09 17 00  12  7.3  9.3  1.77  6.67  4.94 999 1029.9  -0.4   5.9 999.0 99.0 99.00
2005 01 09 18 00  23  5.0  7.2  1.70  6.25  4.98 999 1029.7  -0.7   5.9  -9.6 99.0 99.00
2005 01 09 19 00  24  3.7  5.7  1.61  6.67  5.07 999 1029.4  -0.6   5.9  -8.8 99.0 99.00
2005 01 09 20 00  13  3.3  5.1  1.46  6.67  5.13 999 1029.7  -0.5   5.9  -9.5 99.0 99.00
2005 01 09 21 00  50  2.1  2.9  1.34  6.67  5.17 999 1029.1  -0.6   5.9  -7.0 99.0 99.00
2005 01 09 22 00  49  2.1  3.6  1.35  6.67  5.18 999 1029.6  -0.7   5.9  -5.1 99.0 99.00
2005 01 09 23 00  43  1.9  3.7  1.34  6.67  5.24 999 1029.7  -0.7   5.9  -5.3 99.0 99.00
2005 01 10 00 00 102  2.4  3.4  1.15  6.67  5.04 999 1028.8  -0.4   5.9  -5.8 99.0 99.00
2005 01 10 01 00 138  3.0  4.2  1.08  6.67  5.01 999 1028.9   0.1   5.9  -5.6 99.0 99.00
2005 01 10 02 00 145  2.8  3.9  1.12  6.25  5.27 999 1028.2   0.1   5.9  -4.7 99.0 99.00
2005 01 10 03 00 154  3.7  5.5  1.00  5.88  5.18 999 1027.4   0.2   5.9  -4.7 99.0 99.00
2005 01 10 04 00 161  3.8  5.2  1.01  6.67  5.40 999 1026.8   0.6   5.9  -4.0 99.0 99.00
2005 01 10 05 00 172  4.5  6.0  0.94  8.33  5.49 999 1025.8   0.6   5.9  -2.9 99.0 99.00
2005 01 10 06 00 157  5.1  6.2  0.94  7.69  5.64 999 1024.7   1.2   5.9  -2.6 99.0 99.00
2005 01 10 07 00 155  5.5  7.3  0.89  7.69  5.55 999 1024.2   1.7   5.9  -1.3 99.0 99.00
