#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 06 13 50 353  4.4  6.3  2.00 11.11  6.53 999 1021.6   1.7   4.3  -4.5 99.0 99.00
2008 03 06 14 50 349  5.1  6.7  2.40 11.11  7.30 999 1022.1   1.7   4.3  -5.1 99.0 99.00
2008 03 06 15 50   5  3.5  4.8  2.39 11.11  7.24 999 1022.7   1.7   4.3  -4.8 99.0 99.00
2008 03 06 16 50  17  2.7  4.0  2.24 10.00  7.19 999 1022.7   1.7   4.3  -4.8 99.0 99.00
2008 03 06 17 50  49  1.1 99.0 99.00 99.00 99.00 999 9999.0   2.0 999.0 999.0 99.0 99.00
2008 03 06 18 50  48  0.2  1.3  2.35 11.11  7.69 999 1023.6   2.5   4.7  -5.3 99.0 99.00
2008 03 06 19 50 129  0.8  1.9  2.18 10.00  7.65 999 1024.1   2.4   4.4  -4.3 99.0 99.00
2008 03 06 20 50 155  1.2  2.6  2.16 11.11  8.20 999 1024.1   2.4   4.7  -3.4 99.0 99.00
2008 03 06 21 50 158  1.4  2.5  2.17 11.11  8.31 999 1025.0   2.1   4.6  -3.9 99.0 99.00
2008 03 06 22 50 146  2.2  3.3  1.86 11.11  8.25 999 1025.1   2.1   4.4  -3.1 99.0 99.00
2008 03 06 23 50 149  2.7  3.6  1.73 11.11  8.11 999 1025.6   2.3   4.3  -2.0 99.0 99.00
2008 03 07 00 50 128  3.5  4.6  1.59 11.11  8.00 999 1025.4   2.4   4.3  -2.2 99.0 99.00
2008 03 07 01 50 120  4.4  5.3  1.88 11.11  8.66 999 1025.5   2.6   4.3  -2.1 99.0 99.00
2008 03 07 02 50 121  4.1  5.3  1.81 10.00  8.44 999 1025.6   2.8   4.3  -1.2 99.0 99.00
2008 03 07 03 50 133  3.9  4.8  1.69 10.00  8.34 999 1025.4   3.1   4.3  -0.6 99.0 99.00
2008 03 07 04 50 149  4.7  6.1  1.94 10.00  8.49 999 1025.5   3.2   4.3   0.4 99.0 99.00
2008 03 07 05 50 153  5.1  6.1  2.06 10.00  8.21 999 1025.9   3.3   4.3   1.0 99.0 99.00
2008 03 07 06 50 163  3.8  5.7  2.23 10.00  8.00 999 1026.7   3.5   4.3   1.7 99.0 99.00
2008 03 07 07 50 174  3.5  4.5  1.91 10.00  7.61 999 1026.5   3.8   4.3   1.9 99.0 99.00
2008 03 07 08 50 164  3.2  4.7  1.80  9.09  7.38 999 1027.1   3.9   4.3   1.2 99.0 99.00
2008 03 07 09 50 151  2.2  4.0  1.70 10.00  7.08 999 1027.3   3.9   4.3   1.0 99.0 99.00
2008 03 07 10 50 110  0.7  2.0  1.68 10.00  7.02 999 1027.0   3.6   4.3   0.4 99.0 99.00
2008 03 07 11 50  81  3.2  4.0  1.52 10.00  6.87 999 1026.7   3.6   4.3   0.8 99.0 99.00
