#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 09 05 00 236  2.5  4.2  0.00  0.00  0.00 999  999.4   3.9   6.6   0.4 99.0 99.00
2007 01 09 06 00 230  3.7  5.6  0.00  0.00  0.00 999  999.4   3.2   6.7  -1.0 99.0 99.00
2007 01 09 07 00 236  3.9  5.0  0.00  0.00  0.00 999  999.5   3.1   6.3  -1.7 99.0 99.00
2007 01 09 08 00 248  4.4  6.3  0.00  0.00  0.00 999 1000.0   2.8   6.0  -2.4 99.0 99.00
2007 01 09 09 00 236  3.9  5.9  0.00  0.00  0.00 999 1000.6   2.4   5.9  -2.5 99.0 99.00
2007 01 09 10 00 242  3.6  5.5  0.00  0.00  0.00 999 1000.8   2.1   5.5  -2.7 99.0 99.00
2007 01 09 11 00 225  3.4  4.8  0.00  0.00  0.00 999 1001.6   1.6   5.4  -3.1 99.0 99.00
2007 01 09 12 00 220  3.9  5.2  0.00  0.00  0.00 999 1002.4   1.3   5.6  -3.4 99.0 99.00
2007 01 09 13 00 212  3.7  5.4  0.00  0.00  0.00 999 1003.1   1.2   5.9  -3.7 99.0 99.00
2007 01 09 14 00 213  3.2  4.8  0.00  0.00  0.00 999 1003.7   1.9   5.9  -3.6 99.0 99.00
2007 01 09 15 00 236  3.0  4.8  0.00  0.00  0.00 999 1004.0   3.1   5.6  -4.1 99.0 99.00
2007 01 09 16 00 259  4.8  8.2  0.00  0.00  0.00 999 1003.5   3.9   5.6  -4.3 99.0 99.00
2007 01 09 17 00 246  4.8  8.0  0.00  0.00  0.00 999 1003.3   4.3   6.3  -5.2 99.0 99.00
2007 01 09 18 00 271  5.5  7.8  0.00  0.00  0.00 999 1003.2   4.3   6.3  -6.0 99.0 99.00
2007 01 09 19 00 286  7.0  9.2  0.00  0.00  0.00 999 1003.2   4.4   6.6  -8.2 99.0 99.00
2007 01 09 20 00 271  6.2  9.0  0.00  0.00  0.00 999 1003.5   5.0   6.4  -8.4 99.0 99.00
2007 01 09 21 00 273  3.5  5.4  0.00  0.00  0.00 999 1004.5   4.4   6.4  -8.0 99.0 99.00
2007 01 09 22 00 240  2.1  3.2  0.00  0.00  0.00 999 1004.9   3.9   5.9  -6.6 99.0 99.00
2007 01 09 23 00 188  1.2  1.4  0.00  0.00  0.00 999 1005.7   2.9   6.4  -6.4 99.0 99.00
2007 01 10 00 00 210  1.6  3.0  0.00  0.00  0.00 999 1006.3   2.7   6.3  -5.3 99.0 99.00
2007 01 10 01 00 215  2.3  3.9  0.00  0.00  0.00 999 1006.4   2.6   6.3  -5.8 99.0 99.00
2007 01 10 02 00 238  3.2  4.6  0.00  0.00  0.00 999 1007.0   2.7   6.3  -5.0 99.0 99.00
2007 01 10 03 00 226  1.7  3.2  0.00  0.00  0.00 999 1007.2   2.1   5.9  -5.0 99.0 99.00
2007 01 10 04 00 205  1.3  2.0  0.00  0.00  0.00 999 1007.3   0.9   6.2  -5.0 99.0 99.00
