YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 10 07 999 99.0 99.0  2.65  7.14  5.57 999 1022.0   7.5  20.4 999.0 99.0
1999 01 10 08 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 10 09 999 99.0 99.0  2.53  6.67  5.52 999 1022.5   6.2  20.4 999.0 99.0
1999 01 10 10 999 99.0 99.0  2.27  6.67  5.37 999 1022.7   6.1  20.4 999.0 99.0
1999 01 10 11 999 99.0 99.0  2.20  6.67  5.29 999 1023.8   6.5  20.4 999.0 99.0
1999 01 10 12 999 99.0 99.0  2.16  6.25  5.18 999 1024.5   6.6  20.4 999.0 99.0
1999 01 10 13 999 99.0 99.0  2.17  6.25  5.33 999 1025.1   7.1  20.4 999.0 99.0
1999 01 10 14 999 99.0 99.0  1.96  6.25  5.09 999 1025.7   8.2  20.4 999.0 99.0
1999 01 10 15 999 99.0 99.0  2.01  6.25  5.06 999 1026.9   8.0  20.4 999.0 99.0
1999 01 10 16 999 99.0 99.0  1.94  6.25  5.09 999 1027.4   7.9  20.4 999.0 99.0
1999 01 10 17 999 99.0 99.0  1.98  5.88  4.98 999 1027.5   8.2  20.3 999.0 99.0
1999 01 10 18 999 99.0 99.0  1.88  6.25  4.85 999 1026.5   8.9  20.3 999.0 99.0
1999 01 10 19 999 99.0 99.0  1.83  6.25  4.96 999 1026.3   9.4  20.3 999.0 99.0
1999 01 10 20 999 99.0 99.0  1.71  5.88  4.84 999 1025.9   9.7  20.3 999.0 99.0
1999 01 10 21 999 99.0 99.0  1.55  5.88  4.63 999 1025.8   9.8  20.3 999.0 99.0
1999 01 10 22 999 99.0 99.0  1.34  5.88  4.65 999 1025.9   9.8  20.3 999.0 99.0
1999 01 10 23 999 99.0 99.0  1.23  5.88  4.50 999 1026.7  10.0  20.3 999.0 99.0
1999 01 11 00 999 99.0 99.0  1.14  6.25  4.45 999 1027.3  10.2  20.3 999.0 99.0
1999 01 11 01 999 99.0 99.0  1.06  5.88  4.31 999 1027.8  11.2  20.3 999.0 99.0
1999 01 11 02 999 99.0 99.0  1.04  5.88  4.24 999 1028.5  11.7  20.3 999.0 99.0
1999 01 11 03 999 99.0 99.0   .97  4.76  4.08 999 1028.7  12.5  19.9 999.0 99.0
1999 01 11 04 999 99.0 99.0   .97  5.26  4.23 999 1029.0  12.3  19.9 999.0 99.0
1999 01 11 05 999 99.0 99.0   .94  5.26  4.19 999 1029.0  12.1  19.8 999.0 99.0
1999 01 11 06 999 99.0 99.0   .86  5.56  4.08 999 1028.9  12.1  19.8 999.0 99.0
1999 01 11 07 999 99.0 99.0   .85  4.76  4.17 999 1028.8  12.1  19.8 999.0 99.0
1999 01 11 08 999 99.0 99.0   .86  5.26  4.25 999 1028.8  12.1  19.8 999.0 99.0
1999 01 11 09 999 99.0 99.0   .84  5.26  4.26 999 1028.9  12.0  19.8 999.0 99.0
1999 01 11 10 999 99.0 99.0   .82  5.00  4.24 999 1028.7  11.7  19.9 999.0 99.0
1999 01 11 11 999 99.0 99.0   .76  5.26  4.24 999 1028.6  11.7  19.9 999.0 99.0
1999 01 11 12 999 99.0 99.0   .76  5.00  4.14 999 1028.8  11.8  19.9 999.0 99.0
1999 01 11 13 999 99.0 99.0   .75  5.88  4.20 999 1028.4  12.1  19.9 999.0 99.0
1999 01 11 14 999 99.0 99.0   .72  5.88  3.98 999 1028.9  12.8  19.9 999.0 99.0
