#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 09 10 50 169  3.0  3.4  1.13  5.88  5.40 150 9999.0  21.4  21.4  21.3 99.0 99.00
2008 01 09 11 50 177  3.4  4.1  1.16  7.14  5.62 160 9999.0  21.4  21.4  21.1 99.0 99.00
2008 01 09 12 50 185  3.9  4.6  1.07  7.14  5.35 153 9999.0  21.4  21.4  21.2 99.0 99.00
2008 01 09 13 50 195  2.4  2.9  1.07  7.14  5.64 165 9999.0  21.4  21.9  21.0 99.0 99.00
2008 01 09 14 50 198  1.0  1.5  1.05  7.14  5.46 164 9999.0  21.6  22.2  21.0 99.0 99.00
2008 01 09 15 50 219  1.6  2.5  1.13  6.67  5.43 154 9999.0  21.9  22.2  21.0 99.0 99.00
2008 01 09 16 50 329  2.4  3.2  1.06  6.67  5.58 154 9999.0  21.6  22.2  20.9 99.0 99.00
2008 01 09 17 50  35  2.9  3.5  1.07  6.67  5.51 156 9999.0  21.1  22.7  20.4 99.0 99.00
2008 01 09 18 50 140  1.5  2.1  1.18  7.14  5.71 162 9999.0  22.0  22.7  20.6 99.0 99.00
2008 01 09 19 50 182  2.8  3.6  1.17  6.67  5.81 160 9999.0  22.6  23.0  21.3 99.0 99.00
2008 01 09 20 50 184  4.3  5.0  1.15  6.67  5.69 168 9999.0  22.7  23.0  21.4 99.0 99.00
2008 01 09 21 50 174  4.5  5.2  1.15  7.69  5.64 158 9999.0  22.7  22.9  20.8 99.0 99.00
2008 01 09 22 50 168  5.4  6.3  1.06  6.67  5.64 171 9999.0  22.3  22.7  20.5 99.0 99.00
2008 01 09 23 50 166  5.5  6.4  1.09  6.67  5.60 157 9999.0  22.6  22.7  20.8 99.0 99.00
2008 01 10 00 50 173  4.5  5.0  1.06  6.67  5.51 166 9999.0  22.2  22.7  20.7 99.0 99.00
2008 01 10 01 50 174  4.3  5.0  1.06  6.67  5.44 176 9999.0  22.2  22.2  20.6 99.0 99.00
2008 01 10 02 50 160  5.2  6.0  1.02  7.14  5.34 160 9999.0  22.2  22.2  20.0 99.0 99.00
2008 01 10 03 50 170  5.9  7.2  1.02  6.25  5.03 158 9999.0  22.2  21.9  20.4 99.0 99.00
2008 01 10 04 50 166  4.9  5.8  1.07  7.14  5.14 164 9999.0  22.2  21.9  20.4 99.0 99.00
2008 01 10 05 50 175  5.9  7.0  0.96  6.67  4.98 167 9999.0  22.2  21.9  20.6 99.0 99.00
2008 01 10 06 50 175  5.6  6.5  1.03  6.25  5.00 165 9999.0  22.0  21.9  20.6 99.0 99.00
